pagina,ancho,alto,fiduciales,rot,preset,n_glifos,chars_extraidos,n_rechazadas,motivo_top,page_agreement,suspect,reason,tiempo_s
1,3508,2481,0,90,minusculas_x1(forzado),18,defgjkmnñpqrtuvxyz,8,texto/título,,False,,18.6
2,3508,2481,0,90,minusculas_x1(forzado),17,defgiknñpqrtuvxyz,15,texto/título,,False,,21.8
3,3508,2481,0,270,minusculas_x1(forzado),18,defgijknñpqrtuvxyz,7,texto/título,,False,,16.7
4,3508,2481,0,270,minusculas_x1(forzado),18,defgijknñpqrtuvxyz,7,texto/título,,False,,18.1
5,3508,2481,0,270,minusculas_x1(forzado),20,cdefgijkmnñpqrtuvxyz,9,texto/título,,False,,17.1
6,3508,2481,0,270,minusculas_x1(forzado),18,defgikmnñpqrtuvxyz,9,texto/título,,False,,17.4
7,2481,3508,0,0,minusculas_x1(forzado),19,defgijkmnñpqrtuvxyz,15,texto/título,,False,,18.6
8,2481,3508,0,0,minusculas_x1(forzado),16,defgknñpqrtuvxyz,7,texto/título,,False,,18.5
9,3508,2481,0,270,minusculas_x1(forzado),18,defgijknñpqrtuvxyz,13,texto/título,,False,,23.8
10,3508,2481,0,270,minusculas_x1(forzado),17,defgijkñpqrtuvwyz,7,texto/título,,False,,20.5
11,3508,2481,0,90,minusculas_x1(forzado),18,defgikmnñpqrtuvxyz,7,texto/título,,False,,18.7
12,2481,3508,0,0,minusculas_x1(forzado),21,defgijklmnñpqrtuvwxyz,13,texto/título,,False,,24.9
13,2481,3508,0,0,minusculas_x1(forzado),20,defgijkmnñpqrtuvwxyz,7,texto/título,,False,,22.7
14,2481,3508,0,0,minusculas_x1(forzado),21,defgijklmnñpqrtuvwxyz,12,texto/título,,False,,23.9
15,2481,3508,0,0,minusculas_x1(forzado),19,defgijknñpqrtuvwxyz,9,texto/título,,False,,22.2
16,2481,3508,0,0,minusculas_x1(forzado),14,dfknñpqrtuvxyz,3,texto/título,,False,,13.5
17,2481,3508,0,0,minusculas_x1(forzado),20,defgijklnñpqrtuvwxyz,8,texto/título,,False,,18.0
18,2481,3508,0,0,minusculas_x1(forzado),21,efghijklmnopqrtuvwxyz,18,texto/título,,False,,20.5
19,3508,2481,0,90,minusculas_x1(forzado),20,defgiklmnopqrtuvwxyz,15,texto/título,,False,,18.4
20,3508,2481,0,270,minusculas_x1(forzado),19,abdefgijkmnñpqrtuvz,4,texto/título,,False,,12.6
21,3508,2481,0,90,minusculas_x1(forzado),21,efgijkmnñopqrstuvwxyz,6,texto/título,,False,,17.4
22,2481,3508,0,0,minusculas_x1(forzado),19,defijkmnñpqrtuvwxyz,7,texto/título,,False,,18.3
23,2481,3508,0,0,minusculas_x1(forzado),20,dfgjkmnñopqrstuvwxyz,5,texto/título,,False,,19.0
24,2481,3508,0,90,minusculas_x1(forzado),19,abcdefhilmnñostwxyz,30,texto/título,,False,,41.3
25,3508,2481,0,270,minusculas_x1(forzado),17,defgijkñpqrtuvxyz,11,texto/título,,False,,19.4
26,2481,3508,0,0,minusculas_x1(forzado),17,defijkmnpqrtuvxyz,17,texto/título,,False,,17.8
27,2481,3508,0,90,minusculas_x1(forzado),16,abcdegnopqrstuvw,31,texto/título,,False,,33.5
28,2481,3508,0,0,minusculas_x1(forzado),21,defghijklmnñopqrstuvw,3,texto/título,,False,,32.0
29,2481,3508,0,0,minusculas_x1(forzado),19,defgijkmnñpqtuvwxyz,7,texto/título,,False,,20.8
