pagina,ancho,alto,fiduciales,rot,preset,n_glifos,chars_extraidos,n_rechazadas,motivo_top,page_agreement,suspect,reason,tiempo_s
1,3508,2481,0,90,minusculas_x1,25,abcdefghijlmnñopqrstuvwxy,1,texto/título,0.489,False,,4.6
2,3508,2481,0,90,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.612,False,,5.7
3,3508,2481,0,270,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.581,False,,6.6
4,3508,2481,0,270,minusculas_x1,23,abcdefghijklmnñopstuxyz,0,,0.107,True,mapeo letra↔casilla no confiable (acuerdo CNN 0.11 < 0.12),5.1
5,3508,2481,0,270,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.694,False,,4.3
6,3508,2481,0,270,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.644,False,,4.0
7,2481,3508,0,0,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.789,False,,4.7
8,2481,3508,0,0,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.690,False,,4.2
9,3508,2481,0,270,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.523,False,,4.4
10,3508,2481,0,270,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.737,False,,3.5
11,3508,2481,0,90,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.568,False,,3.3
12,2481,3508,0,0,minusculas_x1,26,abcdefghijklmnñopqrstuvwxz,0,,0.729,False,,5.1
13,2481,3508,0,0,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.547,False,,5.1
14,2481,3508,0,0,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.584,False,,4.6
15,2481,3508,0,0,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.709,False,,4.6
16,2481,3508,0,0,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.553,False,,3.7
17,2481,3508,0,0,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.856,False,,4.9
18,2481,3508,0,0,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.592,False,,5.9
19,3508,2481,0,90,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.820,False,,4.6
20,3508,2481,0,270,minusculas_x1,20,abcefgijkmnñopqtuxyz,0,,0.357,False,,4.4
21,3508,2481,0,90,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.861,False,,4.1
22,2481,3508,0,0,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.781,False,,5.2
23,2481,3508,0,0,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.791,False,,5.5
24,2481,3508,0,0,acentuadas_x12,0,,0,,,True,"no parece página de letras (posibles acentos/dígitos, que el CNN no valida) — elegí el preset a mano para extraer y guardar",7.8
25,3508,2481,0,270,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.628,False,,5.9
26,2481,3508,0,0,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.852,False,,5.2
27,2481,3508,0,0,acentuadas_x12,0,,0,,,True,"no parece página de letras (posibles acentos/dígitos, que el CNN no valida) — elegí el preset a mano para extraer y guardar",5.7
28,2481,3508,0,0,comunes_ltcdmp_x12,72,lllllllllllttttttttttttccccccccccddddddddddddmmmmmmmmmmmppppppp.........,0,,0.223,False,,7.9
29,2481,3508,0,0,minusculas_x1,27,abcdefghijklmnñopqrstuvwxyz,0,,0.732,False,,5.5
